,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Timestamp,Experiment Seed,SGDL Seed,Name,SGDL Hash,Generation Method,Parent 1,Parent 2
0,0.0,0.0,0.0,1780657612,771711886,,Ecez,805064712,Best of Previous Generation,,
1,1.0,1.0,1.0,1780657612,771711886,,Badad,511119631,Best of Previous Generation,,
2,2.0,2.0,2.0,1780657612,771711886,,Ela,774098291,Best of Previous Generation,,
3,3.0,3.0,3.0,1780657612,771711886,,Kum,743457359,Best of Previous Generation,,
4,4.0,4.0,4.0,1780657612,771711886,,Badad,511119631,Best of Previous Generation,,
5,5.0,5.0,5.0,1780657612,771711886,,Ela,774098291,Best of Previous Generation,,
6,6.0,6.0,6.0,1780657612,771711886,,Badad,511119631,Best of Previous Generation,,
7,7.0,7.0,7.0,1780657612,771711886,,Carud,493155274,Best of Previous Generation,,
8,8.0,8.0,8.0,1780657612,771711886,,Ela,774098291,Best of Previous Generation,,
9,9.0,9.0,9.0,1780657612,771711886,,Diojo,995400624,Best of Previous Generation,,
10,10.0,10.0,10.0,1780657612,771711886,,Badad,511119631,Best of Previous Generation,,
11,11.0,11.0,11.0,1780657612,771711886,,Ela,774098291,Best of Previous Generation,,
12,12.0,12.0,12.0,1780657612,771711886,,Sipov,373728272,Best of Previous Generation,,
13,13.0,13.0,13.0,1780657612,771711886,,Badad,511119631,Best of Previous Generation,,
14,14.0,14.0,14.0,1780657612,771711886,,Uye,482187890,Best of Previous Generation,,
15,15.0,15.0,15.0,1780657612,771711886,,Craijid,616749234,Best of Previous Generation,,
16,16.0,16.0,16.0,1780657612,771711886,,Ayic,887569536,Best of Previous Generation,,
17,17.0,17.0,17.0,1780657612,771711886,,Osi,274944713,Best of Previous Generation,,
18,18.0,18.0,,1780657614,11268200,894623.0,Asac,111046842,Mutation,493155274.0,
19,19.0,19.0,,1780657614,11268200,3231046.0,Ujaew,582444913,Mutation,887569536.0,
20,20.0,20.0,,1780657614,11268200,4944500.0,Grirut,363809450,Mutation,805064712.0,
21,21.0,21.0,,1780657614,11268200,1168764.0,Fom,367920757,Mutation,887569536.0,
22,22.0,22.0,,1780657614,11268200,1862603.0,Taiku,407177869,Mutation,805064712.0,
23,23.0,23.0,,1780657614,11268200,4682139.0,Uroc,835178568,Mutation,511119631.0,
24,24.0,24.0,,1780657614,11268200,7172157.0,Prek,480491337,Mutation,511119631.0,
25,25.0,25.0,,1780657614,11268200,309296.0,Trouhex,812685594,Mutation,805064712.0,
26,26.0,26.0,,1780657614,11268200,2733943.0,Huiso,175282823,Mutation,511119631.0,
27,27.0,27.0,,1780657614,11268200,5021770.0,Evuh,580176233,Mutation,511119631.0,
28,28.0,28.0,,1780657614,11268200,5117406.0,Bono,171716215,Mutation,616749234.0,
29,29.0,29.0,,1780657614,11268200,8908778.0,Guqu,94330756,Mutation,482187890.0,
30,30.0,30.0,,1780657614,11268200,3752032.0,Aha,174891707,Mutation,616749234.0,
31,31.0,31.0,,1780657614,11268200,4223761.0,Xouz,704275866,Mutation,887569536.0,
32,32.0,32.0,,1780657614,11268200,6926843.0,Voutiz,130849722,Mutation,511119631.0,
33,33.0,33.0,,1780657614,11268200,7197216.0,Utap,916815802,Mutation,511119631.0,
34,34.0,34.0,,1780657614,11268200,6193250.0,Osu,688909198,Mutation,511119631.0,
35,35.0,35.0,,1780657614,11268200,5292329.0,Kuib,783677127,Mutation,743457359.0,
36,36.0,36.0,,1780657614,11268200,6582633.0,Gravoc,291171148,Mutation,511119631.0,
37,37.0,37.0,,1780657614,11268200,2793671.0,Kuido,354376878,Mutation,511119631.0,
38,38.0,38.0,,1780657614,11268200,2679383.0,Eveak,866638554,Mutation,511119631.0,
39,39.0,39.0,,1780657614,11268200,1519230.0,Ibah,193948832,Mutation,511119631.0,
40,40.0,40.0,,1780657614,11268200,2762879.0,Paetac,642442421,Mutation,482187890.0,
41,41.0,41.0,,1780657614,11268200,6114382.0,Igec,87457540,Mutation,743457359.0,
42,42.0,42.0,,1780657614,11268200,7381425.0,Ojiop,162042130,Mutation,511119631.0,
43,43.0,,,1780657616,774020031,330869108.0,Pread,755888518,Crossover,373728272.0,774098291.0
44,44.0,,,1780657616,774020031,637877516.0,Uye,482187890,Crossover,482187890.0,274944713.0
45,45.0,,,1780657616,774020031,134475425.0,Uye,482187890,Crossover,482187890.0,995400624.0
46,46.0,,,1780657616,774020031,856255311.0,Aka,862903690,Crossover,774098291.0,274944713.0
47,47.0,,,1780657616,774020031,450483706.0,Ela,774098291,Crossover,774098291.0,482187890.0
