,Timestamp,Experiment Seed,SGDL Seed,Name,SGDL Hash,Generation Method,Parent 1,Parent 2
0,1780670103,997809845,,Ege,859354964,Best of Previous Generation,,
...
23,1780670103,997809845,,Draegem,984684152,Best of Previous Generation,,
24,1780670103,997809845,,Jeaqek,686524547,Best of Previous Generation,,
25,1780670104,582586619,2344258.0,Xahi,193499300,Mutation,984684152.0,
...
48,1780670104,582586619,3679888.0,Ewuiv,997575498,Mutation,356639933.0,
49,1780670104,582586619,8564267.0,Fris,350664989,Mutation,321908731.0,
50,1780670106,844679899,519406585.0,Fokic,271654206,Crossover,271654206.0,94330756.0
...
73,1780670106,844679899,390669957.0,Uxa,115508248,Crossover,115508248.0,786237920.0
74,1780670106,844679899,903236843.0,Beani,548982522,Crossover,548982522.0,365315280.0
75,1780670107,834918195,641483322.0,Uci,124701882,Random,,
...
97,1780670107,834918195,178121971.0,Staehod,13929083,Random,,
98,1780670107,834918195,491363311.0,Ulaiw,873169164,Random,,
99,1780670107,834918195,477102936.0,Brouto,369276147,Random,,


