Unnamed: 0,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Trizug,6841376,527293744,58266219,False,0,True,0.0,0.0,1780714778
1,Trizug,7180258,527293744,58266219,False,0,True,0.0,0.0,1780714778
2,Trizug,1925286,527293744,58266219,False,0,True,0.0,0.0,1780714778
3,Trizug,1838793,527293744,58266219,False,0,True,0.0,0.0,1780714778
4,Trizug,8791432,527293744,58266219,False,0,True,0.0,0.0,1780714778
5,Trizug,7295608,527293744,58266219,False,0,True,0.0,0.0,1780714778
6,Trizug,6211748,527293744,58266219,False,0,True,0.0,0.0,1780714778
7,Trizug,6507870,527293744,58266219,False,0,True,0.0,0.0,1780714778
8,Trizug,8454289,527293744,58266219,False,0,True,0.0,0.0,1780714778
9,Trizug,5489165,527293744,58266219,False,0,True,0.0,0.0,1780714778
10,Paewi,6841376,527293744,338536175,False,1000,True,0.173076923076923,0.8571428571428571,1780714966
11,Paewi,7180258,527293744,338536175,False,1000,True,0.1923076923076923,0.8571428571428571,1780714966
12,Paewi,1925286,527293744,338536175,False,1000,True,0.1826923076923076,0.8571428571428571,1780714966
13,Paewi,1838793,527293744,338536175,False,1000,True,0.173076923076923,0.8571428571428571,1780714966
14,Paewi,8791432,527293744,338536175,False,1000,True,0.1826923076923076,0.8571428571428571,1780714966
15,Paewi,7295608,527293744,338536175,False,1000,True,0.1826923076923076,0.8571428571428571,1780714966
16,Paewi,6211748,527293744,338536175,False,1000,True,0.1826923076923076,0.8571428571428571,1780714966
17,Paewi,6507870,527293744,338536175,False,1000,True,0.173076923076923,0.8571428571428571,1780714966
18,Paewi,8454289,527293744,338536175,False,1000,True,0.2403846153846154,1.0,1780714966
19,Paewi,5489165,527293744,338536175,False,1000,True,0.1826923076923076,0.8571428571428571,1780714966
20,Uya,6841376,527293744,225049187,False,59,True,0.0,0.0,1780714969
21,Uya,7180258,527293744,225049187,False,29,True,0.0,0.0,1780714969
22,Uya,1925286,527293744,225049187,False,23,True,0.0,0.0,1780714969
23,Uya,1838793,527293744,225049187,False,95,True,0.0,0.0,1780714969
24,Uya,8791432,527293744,225049187,False,248,True,0.0,0.0,1780714969
25,Uya,7295608,527293744,225049187,False,5,True,0.0,0.0,1780714969
26,Uya,6211748,527293744,225049187,False,8,True,0.0,0.0,1780714969
27,Uya,6507870,527293744,225049187,False,23,True,0.0,0.0,1780714969
28,Uya,8454289,527293744,225049187,False,2,True,0.0,0.0,1780714969
29,Uya,5489165,527293744,225049187,False,56,True,0.0,0.0,1780714969
30,Ihoup,6841376,527293744,258949926,False,101,True,0.0,0.0,1780714971
31,Ihoup,7180258,527293744,258949926,False,101,True,0.0,0.0,1780714971
32,Ihoup,1925286,527293744,258949926,False,101,True,0.0,0.0,1780714971
33,Ihoup,1838793,527293744,258949926,False,101,True,0.0,0.0,1780714971
34,Ihoup,8791432,527293744,258949926,False,101,True,0.0,0.0,1780714971
35,Ihoup,7295608,527293744,258949926,False,101,True,0.0,0.0,1780714971
36,Ihoup,6211748,527293744,258949926,False,101,True,0.0,0.0,1780714971
37,Ihoup,6507870,527293744,258949926,False,101,True,0.0,0.0,1780714971
38,Ihoup,8454289,527293744,258949926,False,101,True,0.0,0.0,1780714971
39,Ihoup,5489165,527293744,258949926,False,101,True,0.0,0.0,1780714971
40,Ilo,6841376,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
41,Ilo,7180258,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
42,Ilo,1925286,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
43,Ilo,1838793,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
44,Ilo,8791432,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
45,Ilo,7295608,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
46,Ilo,6211748,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
47,Ilo,6507870,527293744,34505648,True,52,False,0.971153846153846,1.0,1780714979
48,Ilo,8454289,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
49,Ilo,5489165,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780714979
50,Rude,6841376,527293744,20232098,False,1000,True,0.3461538461538461,0.8333333333333334,1780714994
51,Rude,7180258,527293744,20232098,False,1000,True,0.3846153846153846,1.0,1780714994
52,Rude,1925286,527293744,20232098,False,1000,True,0.4230769230769231,1.0,1780714994
53,Rude,1838793,527293744,20232098,False,16,True,0.0,0.0,1780714994
54,Rude,8791432,527293744,20232098,False,415,True,0.0,0.0,1780714994
55,Rude,7295608,527293744,20232098,False,25,True,0.0,0.0,1780714994
56,Rude,6211748,527293744,20232098,False,233,True,0.0,0.0,1780714994
57,Rude,6507870,527293744,20232098,False,1000,True,0.3076923076923077,1.0,1780714994
58,Rude,8454289,527293744,20232098,False,1000,True,0.3846153846153846,1.0,1780714994
59,Rude,5489165,527293744,20232098,False,1000,True,0.3846153846153846,1.0,1780714994
60,Fraexi,6841376,527293744,994780097,True,35,False,0.7307692307692307,1.0,1780714999
